mgi_id	gene_name	ensemble_id	uberon_annotations
mgi:5521184	tg(thy1-tcf4)1mjro	not_found	uberon_0001016
mgi:3621047	tg(myl2-fgf19)1dfre	not_found	uberon_0010412,uberon_0010411,uberon_0000468,uberon_0001348,uberon_0002107,uberon_0002423
mgi:3621041	tg(gcg-tag)25ddr	not_found	uberon_0001277,uberon_0000016,uberon_0000059,uberon_0000468,uberon_0000160,uberon_0001007,uberon_0001153,uberon_0002368,uberon_0000006,uberon_0001264,uberon_0001242
mgi:1931028	recql4	ensmusg00000033762	uberon_0001708,uberon_0002125,uberon_0002544,uberon_0003221,uberon_0011156,uberon_0002405,uberon_0001098,uberon_0001987,uberon_0003655,uberon_0002416,uberon_0001037,uberon_0001013,uberon_0002091,uberon_0001959,uberon_0001456,uberon_0004345,uberon_0002470,uberon_0004716,uberon_0000014,uberon_0001438,uberon_0008853,uberon_0000033,uberon_0002108,uberon_0002106,uberon_0002104,uberon_0002370,uberon_0002102,uberon_0000088,uberon_0000358,uberon_0005944,uberon_0010166,uberon_0002390,uberon_0006265,uberon_0000922,uberon_0003988,uberon_0001007,uberon_0007812,uberon_0007811,uberon_0000165,uberon_0000160,uberon_0003457,uberon_0003128,uberon_0005291,uberon_0001434
mgi:1931029	golga7	ensmusg00000015341	uberon_0000922,uberon_0002390
mgi:5904626	tg(myh6-myl2*r58q)#dsc	not_found	uberon_0000383,uberon_0002349,uberon_0004535,uberon_0004493,uberon_0000948,uberon_0001630
mgi:1931026	sertad2	ensmusg00000049800	uberon_0002423,uberon_0002416,uberon_0002405,uberon_0000468,uberon_0001348,uberon_0002072,uberon_0002390,uberon_0003427,uberon_0002107,uberon_0006003,uberon_0010412,uberon_0002190,uberon_0001347
mgi:5904625	tg(myh6-myl2*n47k)#dsc	not_found	uberon_0000383,uberon_0002349,uberon_0004535,uberon_0004493,uberon_0000948,uberon_0001630
mgi:2389188	asbb1	not_found	uberon_0002405
mgi:2150920	fgfrl1	ensmusg00000008090	uberon_0001708,uberon_0001092,uberon_0002133,uberon_0011156,uberon_0001685,uberon_0001703,uberon_0000084,uberon_0002413,uberon_0001981,uberon_0006428,uberon_0004535,uberon_0001134,uberon_0003252,uberon_0004374,uberon_0008788,uberon_0002094,uberon_0000955,uberon_0002091,uberon_0000975,uberon_0003220,uberon_0003687,uberon_0001456,uberon_0003685,uberon_0001692,uberon_0004716,uberon_0000014,uberon_0002495,uberon_0000074,uberon_0003461,uberon_0002349,uberon_0003278,uberon_0004493,uberon_0004089,uberon_0002390,uberon_0000081,uberon_0002080,uberon_0002375,uberon_0004086,uberon_0002517,uberon_0001443,uberon_0001738,uberon_0002224,uberon_0002146,uberon_0002240,uberon_0001987,uberon_0000033,uberon_0001890,uberon_0000922,uberon_0001737,uberon_0001676,uberon_0001677,uberon_0001004,uberon_0007830,uberon_0000948,uberon_0005944,uberon_0001066,uberon_0001285,uberon_0007811,uberon_0002516,uberon_0001103,uberon_0005953,uberon_0001008,uberon_0000383,uberon_0001229,uberon_0008777,uberon_0001225,uberon_0001684,uberon_0003946,uberon_0003128,uberon_0004666,uberon_0000478,uberon_0006333,uberon_0001434,uberon_0004667
