protein1 protein2 combined_score
l1cam lamc1 0.565807743017
lama2 lamc1 0.57920739378
agrn lamc1 0.417166629415
lamc1 rac1 0.379207958123
itgb1 lamc1 0.641630001868
itga7 lamc1 0.51116824628
col1a1 lamc1 0.321618363924
lamc1 src 0.366114964121
lamc1 prnp 0.594386576046
lamc1 mmp13 0.477781324848
cd44 lamc1 0.525516901291
itgav lamc1 0.519491328724
lamc1 smad3 0.336198299375
itga10 lamc1 0.41988107364
lamc1 pdgfra 0.322004994201
dmd lamc1 0.446724904439
lamc1 smad4 0.433382429919
fign l1cam 0.301444766181
fign lrrk1 0.358925903454
fign ror2 0.317541135855
fign pcsk5 0.400849311545
fgfr1 fign 0.304584959506
fign sptbn2 0.303500433316
ocln trp53 0.310448015986
lrrk1 trp53 0.304011327043
hgf trp53 0.511468977817
ncor1 trp53 0.466472063987
il10 trp53 0.487197204044
mapkapk2 trp53 0.312555009651
trp53 zic3 0.323322970543
ank trp53 0.305643857597
fos trp53 0.652783766183
fgf9 trp53 0.332850518088
fgf8 trp53 0.342144675723
fgf2 trp53 0.482542666288
mbp trp53 0.306879281563
cycs trp53 0.413858324303
irs1 trp53 0.357489911767
hand2 trp53 0.355280733701
sparc trp53 0.330551256159
pik3c3 trp53 0.359769767484
pax3 trp53 0.519424216031
sox9 trp53 0.391689286874
smo trp53 0.391922568311
hic1 trp53 0.551953391808
esr2 trp53 0.499062142082
esr1 trp53 0.635001136205
il15 trp53 0.355483204765
lep trp53 0.547743211318
traf6 trp53 0.52641655299
psen1 trp53 0.513325680045
rac1 trp53 0.335696224286
ihh trp53 0.320305247623
itgb1 trp53 0.438025437921
rnd3 trp53 0.395265851417
tnfsf11 trp53 0.389463788693
bmp7 trp53 0.402309829488
bmp5 trp53 0.356293824913
bmp4 trp53 0.466555546088
bmp2 trp53 0.358213658635
chuk trp53 0.447132905374
lmna trp53 0.48404351948
fras1 trp53 0.384710346762
gja1 trp53 0.414806753335
runx2 trp53 0.43780743013
runx3 trp53 0.51808833569
aire trp53 0.442451480439
pten trp53 0.700236083754
il6 trp53 0.614465377636
il7 trp53 0.340276203607
il4 trp53 0.548330650758
trp53 wnt1 0.407204820254
trp53 wnt4 0.306520682593
epo trp53 0.4127312701
myc trp53 0.677071418633
hmga2 trp53 0.594931980776
col1a1 trp53 0.359591863485
sp8 trp53 0.307329618661
sp3 trp53 0.449958858394
sp7 trp53 0.364142257023
ghr trp53 0.335300789123
atp7a trp53 0.506308555105
nog trp53 0.348786842562
fgfr3 trp53 0.413970023681
trp53 twsg1 0.374309695423
gnas trp53 0.35529277511
trp53 zeb1 0.363787408651
cyp51 trp53 0.30032158059
fosl1 trp53 0.452019660274
csf1 trp53 0.42522615245
src trp53 0.566927495339
lgmn trp53 0.333042868775
gas1 trp53 0.313138526231
ppargc1a trp53 0.476700386807
sirt1 trp53 0.691914033821
prnp trp53 0.452606029254
spp1 trp53 0.487722424461
trp53 zmpste24 0.317972869929
gsc trp53 0.304001741328
adam17 trp53 0.356686360516
bmpr1a trp53 0.350698579886
trp53 trp63 0.606612995362
hras trp53 0.628899299756
gli2 trp53 0.4025649119
stat1 trp53 0.546026419788
ank1 trp53 0.333868784839
igf2 trp53 0.445709227085
serpinh1 trp53 0.382511912371
ptch1 trp53 0.439144581685
met trp53 0.576692553123
col2a1 trp53 0.346589776434
mmp14 trp53 0.5643251329
mmp13 trp53 0.44684096466
lef1 trp53 0.445185394458
trp53 wnt5a 0.398789685919
trp53 vdr 0.529901333368
casp3 trp53 0.65769304732
fgf10 trp53 0.339686502069
mmp9 trp53 0.602097570563
mmp2 trp53 0.578457041418
fst trp53 0.328723300415
tnf trp53 0.641568366351
thrb trp53 0.368071007455
thra trp53 0.44287343595
trp53 wnt3a 0.317043798717
