genes	predicted_functions
foxq1	uberon_0002103:3.51379241886
prdx6b	uberon_0002103:0.938784579491
mrps23	uberon_0002103:3.07921342073
gpx7	uberon_0002103:2.66720324406
pycrl	uberon_0002103:0.669798057722
tg(guca1a*l151f/egfp)#wbae	uberon_0002103:2.29063437396
uncx	uberon_0002103:16.5822758807
gpr182	uberon_0002103:1.01388734585
gpr183	uberon_0002103:0.413065214976
neto1	uberon_0002103:0.563270747695
gnat1	uberon_0002103:0.0263670539298
clgn	uberon_0002103:2.62859682258
neurl3	uberon_0002103:0.0751027663593
j3qjz3_mouse	uberon_0002103:6.24502998871
vps53	uberon_0002103:1.53960671037
lamc3	uberon_0002103:44.3225987448
vps51	uberon_0002103:1.27674702811
lamc1	uberon_0002103:57.2618180533
f11r	uberon_0002103:0.0209673713139
vps54	uberon_0002103:0.189123235117
krtap5-4	uberon_0002103:0.0375513831796
rfc5	uberon_0002103:4.06518612427
rfc4	uberon_0002103:5.31348537133
galnt11	uberon_0002103:0.600822130874
crb1	uberon_0002103:3.8677924675
epfpq2	uberon_0002103:1.68981224308
crb3	uberon_0002103:0.337962448617
crb2	uberon_0002103:6.90870062814
gpr180	uberon_0002103:0.112654149539
tg(rp24-180n9)2kjn	uberon_0002103:3.45472725253
olfr1504	uberon_0002103:0.375513831796
gm4906	uberon_0002103:0.788438370711
rgsc881	uberon_0002103:3.34207310299
bcl2l1	uberon_0002103:84.95353347
tnnt1	uberon_0002103:8.79201818326
bcl2l2	uberon_0002103:0.091576947656
hist3h2a	uberon_0002103:0.0916778320335
dusp3	uberon_0002103:10.8577599066
fign	uberon_0002103:22.1471415099
tnnt3	uberon_0002103:16.7106348924
cbfa2t3	uberon_0002103:0.338615915348
cbfa2t2	uberon_0002103:0.225308299078
gm20715	uberon_0002103:0.262859682258
sctr	uberon_0002103:4.66725763131
epfpq3	uberon_0002103:1.68981224308
tg(wap-tag)np8depp	uberon_0002103:1.76491500944
prrxl1	uberon_0002103:0.187756915898
gcgr	uberon_0002103:2.6044708571
pycr1	uberon_0002103:0.669798057722
il6st	uberon_0002103:32.5736199611
defb35	uberon_0002103:0.187756915898
lrrc71	uberon_0002103:0.187756915898
fam192a	uberon_0002103:0.187756915898
mlkl	uberon_0002103:0.611295678521
q9d9f1_mouse	uberon_0002103:6.96722307105
olfr655	uberon_0002103:0.375513831796
cpxcr1	uberon_0002103:0.0375513831796
dusp2	uberon_0002103:0.762118045285
trp53	uberon_0002103:332.616520438
ap1m2	uberon_0002103:0.468031861114
neto2	uberon_0002103:0.0375513831796
paf1	uberon_0002103:1.07356316553
ap1m1	uberon_0002103:0.422419878271
neurl2	uberon_0002103:2.0671707558
crbn	uberon_0002103:0.0215156181229
s100a9	uberon_0002103:0.0020662577746
s100a8	uberon_0002103:5.72029395873
s100a4	uberon_0002103:16.5822758807
s100a6	uberon_0002103:0.059987543249
s100a1	uberon_0002103:0.265208225549
apoc3	uberon_0002103:0.000380433537433
klrc1	uberon_0002103:0.0598533137572
ghrh	uberon_0002103:13.7317253294
atxn1l	uberon_0002103:0.0375513831796
ighv6-5	uberon_0002103:0.187756915898
sb2/1	uberon_0002103:3.45472725253
ghrl	uberon_0002103:0.500875375383
mcg_117681	uberon_0002103:0.938784579491
tg(myl2-fgf19)1dfre	uberon_0002103:0.187756915898
rras2	uberon_0002103:6.60589329308
klrc3	uberon_0002103:0.549511120604
rpl7a-ps8	uberon_0002103:4.63952899818
lamc2	uberon_0002103:27.8613316268
magel2	uberon_0002103:0.488167981335
olfr1232	uberon_0002103:19.3765137207
cul9	uberon_0002103:24.667728898
rgsc615	uberon_0002103:1.23919564493
vps52	uberon_0002103:1.50205532719
uchl5	uberon_0002103:0.820345418556
hist1h1e	uberon_0002103:0.112654149539
cul7	uberon_0002103:2.59374212274
uchl1	uberon_0002103:0.0313130958087
cul1	uberon_0002103:0.614457885606
uchl3	uberon_0002103:0.310758407222
cul3	uberon_0002103:0.000192106475411
egln3	uberon_0002103:9.98209818896
egln2	uberon_0002103:4.88754976436
egln1	uberon_0002103:7.78122636823
rictor	uberon_0002103:12.9289069621
gemin4	uberon_0002103:0.383490786309
sap30l	uberon_0002103:0.0375513831796
mogs	uberon_0002103:1.07328634956
hp	uberon_0002103:1.91819765905
rbfox3	uberon_0002103:0.00399168008288
slc23a1	uberon_0002103:0.337962448617
arpc3	uberon_0002103:2.57404301945
slc23a3	uberon_0002103:0.262859682258
slc23a2	uberon_0002103:0.450616598156
pfas	uberon_0002103:6.85906240756
slc23a4	uberon_0002103:0.300411065437
olfr1238	uberon_0002103:19.3765137207
pycard	uberon_0002103:0.310758407222
tmem219	uberon_0002103:24.667728898
tg(rho-mirc35*)sp1135kpal	uberon_0002103:0.938784579491
tnfrsf11a	uberon_0002103:109.144960803
zfp451	uberon_0002103:24.667728898
sh3d19	uberon_0002103:0.091576947656
tg(pbsn-hpn,-gfp)dvv	uberon_0002103:0.600822130874
bclaf1	uberon_0002103:8.17359689964
bicral	uberon_0002103:0.0751027663593
atxn10	uberon_0002103:0.112654149539
olfr237-ps1	uberon_0002103:19.3765137207
a930003a15rik	uberon_0002103:0.0375513831796
