Uberon_id	P-value	Term name
uberon_0000019	7.22402055522e-18	camera-type_eye
uberon_0000468	5.69263931748e-17	multicellular_organism
uberon_0000033	2.90190418442e-15	head
uberon_0008823	1.67342874923e-12	neural_tube_derived_brain
uberon_0001016	5.41952528102e-10	nervous_system
uberon_0001017	1.80909567638e-08	central_nervous_system
uberon_0002107	4.18840931479e-07	liver
uberon_0000948	6.07452231547e-07	heart
uberon_0001555	1.70076061476e-06	digestive_tract
uberon_0001032	1.92728544017e-06	sensory_system
uberon_0007812	2.28132145173e-06	post-anal_tail
uberon_0002407	1.47096331906e-05	pericardium
uberon_0005886	3.02436667727e-05	post-hyoid_pharyngeal_arch_skeleton
uberon_2000084	3.04725805402e-05	yolk
uberon_0005281	6.07296421791e-05	ventricular_system_of_central_nervous_system
uberon_0010314	0.000743857698704	structure_with_developmental_contribution_from_neural_crest
uberon_0001846	0.000888801591179	internal_ear
uberon_0002329	0.000896484024645	somite
uberon_0001003	0.00170376222119	skin_epidermis
uberon_0003102	0.00190061148117	surface_structure
uberon_0002100	0.00252997079509	trunk
uberon_0001708	0.00287797151525	jaw_skeleton
uberon_0004141	0.00345966602676	heart_tube
uberon_0001782	0.00380629166157	pigmented_layer_of_retina
uberon_0000017	0.00384968248442	exocrine_pancreas
uberon_4000164	0.00462630181144	caudal_fin
uberon_0001945	0.00488419127432	superior_colliculus
uberon_0012438	0.00591298693052	blastema_of_regenerating_fin/limb
uberon_0000965	0.00652003206563	lens_of_camera-type_eye
uberon_0000966	0.00853539576426	retina
uberon_0002280	0.0100871537907	otolith
uberon_0008897	0.011302776983	fin
uberon_0007380	0.0127514450292	dermal_scale
uberon_0002028	0.0144706701662	hindbrain
uberon_0001890	0.0167862758621	forebrain
uberon_0014907	0.0186695447566	intersomitic_vessel
uberon_0005884	0.0197859499553	hyoid_arch_skeleton
uberon_2000106	0.0239058246773	extension
uberon_0005310	0.029589311891	pronephric_nephron_tubule
uberon_2001456	0.032862396453	pectoral_fin_endoskeletal_disc
uberon_0011611	0.032862396453	ceratohyal_bone
uberon_0003052	0.0351593560766	midbrain-hindbrain_boundary
uberon_0002328	0.0366838509666	notochord
uberon_0002082	0.0378523882745	cardiac_ventricle
uberon_0006283	0.0419398271269	future_cardiac_ventricle
uberon_0005087	0.0441297500178	tooth_placode
uberon_0002422	0.046048221407	fourth_ventricle
uberon_0012316	0.05595079944	primitive_palate
uberon_0001264	0.0591061584029	pancreas
uberon_0000160	0.0622483927349	intestine
uberon_0000151	0.0626760726051	pectoral_fin
uberon_0000473	0.0687767571822	testis
uberon_2000422	0.0691566908684	retroarticular
uberon_0004866	0.0691566908684	actinopterygian_frontal_bone
uberon_2001425	0.0691566908684	basal_plate_cartilage
uberon_0006860	0.0696987513423	swim_bladder
uberon_0002120	0.0710939533344	pronephros
uberon_0004742	0.0718707339621	dentary
uberon_0004152	0.0825725652827	bulbus_arteriosus
uberon_0002199	0.0858861228465	integument
uberon_0004739	0.0869238874355	pronephric_glomerulus
uberon_0010227	0.0975905963047	future_cardiac_atrium
uberon_2001229	0.105430417797	pharyngeal_arch_7_skeleton
uberon_0015212	0.105430417797	lateral_structure
uberon_0003933	0.105462394776	cranial_cartilage
uberon_2001232	0.105462394776	pharyngeal_arch_5_skeleton
uberon_4000163	0.105462394776	anal_fin
uberon_2001230	0.105462394776	pharyngeal_arch_6_skeleton
uberon_0007298	0.106684362536	pronephric_proximal_convoluted_tubule
uberon_2001228	0.106684362536	pharyngeal_arch_3_skeleton
