zebraspecific_normalized	zebra_common_normalized	mouse_common_normalized	mouse_specific_normalized
0.010879869	0.166810333	0.154835176	0.08966635
0.009444784	0.161659883	0.194502566	0.084582482
0.072383829	0.15595851	0.128808134	0.032833713
0.011355057	0.143148455	0.127211478	0.045293858
0.021765576	0.140951695	0.140194409	0.020867737
0.078002604	0.124028114	0.136034211	0.001493385
0.001574015	0.117336984	0.140795069	0.115098893
0.009291574	0.116564722	0.137596561	0.010369792
0.046744966	0.110282674	0.09361065	0.010751089
0.039032663	0.107373748	0.118446934	0.035770377
0.062291439	0.09281068	0.115089877	0.029299849
0.024003407	0.085592789	0.112499783	0.009174846
0.024071222	0.082301867	0.122079475	0.004203698
0.105150418	0.076349118	0.035485009	0.14017624
0.033885866	0.075847589	0.029622614	0.006790426
0.132689263	0.074992862	0.056979736	0.038062702
0.008468319	0.069534463	0.030329709	0.001637667
0.04134903	0.068359899	0.031890819	0.004454576
0.046052658	0.06650369	0.096366977	0.004453348
0.048912107	0.066015581	0.057602078	0.02605369
0.005729945	0.059999813	0.031583451	0.009635259
0.108178029	0.042640187	0.051951938	0.033725367
0.004553211	0.04182119	0.038638342	0.010391518
0.00394714	0.040590409	0.066302518	0.102802766
0.04134903	0.040132015	0.122374638	0.017936819
0.035790661	0.039439991	0.007454685	0.020793222
0.033845888	0.038506913	0.01376607	0.004625526
0.04134903	0.032980816	0.122374638	0.010401942
0.011237208	0.032232467	0.013363299	0.012392141
0.023650695	0.029570915	0.014494967	0.0136786
0.04134903	0.024123794	0.083692309	0.001637667
0.004592371	0.022078612	0.027430074	0.120887711
0.019254747	0.021104094	0.001253485	0.092178187
0.020619926	0.016997878	0.051387212	0.002936607
0.007670924	0.008934896	0.004404184	0.001235324
0.004990215	0.003447036	0.01501296	0.080447214
0.005434041	0.00172478	0.025879586	0.093975622
0.024823347	NA	NA	0.004991923
0.037646682	NA	NA	0.099895633
0.03148129	NA	NA	0.121584032
0.009625668	NA	NA	0.06253128
0.004783012	NA	NA	0.018545293
0.095606485	NA	NA	0.007193507
0.016557839	NA	NA	0.018545293
0.04134903	NA	NA	0.018545293
0.02574191	NA	NA	0.016941272
0.033193677	NA	NA	0.155912438
0.003406005	NA	NA	0.004266921
0.00810573	NA	NA	0.004538713
0.0141658	NA	NA	0.012120607
0.020207643	NA	NA	0.016557245
0.07790423	NA	NA	0.041436051
0.001577567	NA	NA	0.122168108
0.008179144	NA	NA	0.033178255
0.008636807	NA	NA	0.034187409
0.067328572	NA	NA	0.060001432
0.004691319	NA	NA	0.061175253
0.005020392	NA	NA	0.061328621
0.031823087	NA	NA	0.040070306
0.043641193	NA	NA	0.022767591
0.084192725	NA	NA	0.029071604
0.035385625	NA	NA	0.020144052
0.007515241	NA	NA	0.026277563
0.012630596	NA	NA	0.093222644
0.012402035	NA	NA	0.002908116
0.122943567	NA	NA	0.009517203
0.017741159	NA	NA	0.002568186
0.033193677	NA	NA	0.003852632
0.012367426	NA	NA	0.01148089
0.006742562	NA	NA	0.082865581
0.027289857	NA	NA	0.107143421
0.006793936	NA	NA	0.001493385
0.007127471	NA	NA	0.021852933
0.068575592	NA	NA	0.023955475
0.00165985	NA	NA	0.019750403
0.04134903	NA	NA	0.037745544
0.003083069	NA	NA	0.052906709
0.016769669	NA	NA	0.003205059
0.022757168	NA	NA	0.029297125
0.041185379	NA	NA	0.006764649
0.007744151	NA	NA	0.013093687
0.03635681	NA	NA	0.014567101
0.026103263	NA	NA	0.02323079
0.029118451	NA	NA	0.021286248
0.04134903	NA	NA	0.010448895
0.001555764	NA	NA	0.024422652
0.027392019	NA	NA	0.055394979
0.04134903	NA	NA	0.013825203
0.040467075	NA	NA	0.018290246
0.005647709	NA	NA	0.003614882
0.095348468	NA	NA	0.006442777
0.101205684	NA	NA	0.005368654
0.059334397	NA	NA	0.010863889
0.011731929	NA	NA	0.006679425
0.033966541	NA	NA	0.032510933
0.009569552	NA	NA	0.017844804
0.112482763	NA	NA	0.065813759
0.001548439	NA	NA	0.003213651
0.114935417	NA	NA	0.017664672
0.021052539	NA	NA	0.073159114
0.065452617	NA	NA	0.020769524
0.001871658	NA	NA	0.059857549
0.023987762	NA	NA	0.018780244
0.075597922	NA	NA	0.005760754
0.04134903	NA	NA	0.007558159
0.00235898	NA	NA	0.034596292
0.022265955	NA	NA	0.055656533
0.003068662	NA	NA	0.108790582
0.101293905	NA	NA	0.003505877
0.060451068	NA	NA	0.018238503
0.010199331	NA	NA	0.131719523
0.028094733	NA	NA	0.018835515
0.014434212	NA	NA	0.006679425
0.011117569	NA	NA	0.027851719
0.004597191	NA	NA	0.002515984
0.04134903	NA	NA	0.00287458
0.024249703	NA	NA	0.00319778
0.021644186	NA	NA	0.009042598
0.012705404	NA	NA	0.004991923
0.049167923	NA	NA	0.026712567
0.030392298	NA	NA	0.031184179
0.030259948	NA	NA	0.018117411
0.033193677	NA	NA	0.006638891
0.015054435	NA	NA	0.021868614
0.001709096	NA	NA	0.017968873
0.054882551	NA	NA	0.074861344
0.112773033	NA	NA	0.027530452
0.009855795	NA	NA	0.012502333
0.036470238	NA	NA	0.090902401
0.001578369	NA	NA	0.001361367
0.011117569	NA	NA	0.014006762
0.003138088	NA	NA	0.030511374
0.012601373	NA	NA	0.02526204
0.007869265	NA	NA	0.072778196
0.012992668	NA	NA	0.011658808
0.037472467	NA	NA	0.00547571
0.04134903	NA	NA	0.062026016
0.04134903	NA	NA	0.004572979
0.04134903	NA	NA	0.043230321
0.025844728	NA	NA	0.001246858
0.019007757	NA	NA	0.007376034
0.033193677	NA	NA	0.036509961
0.027416271	NA	NA	0.001255645
0.001871658	NA	NA	0.043931109
0.015235252	NA	NA	0.008138013
0.001591511	NA	NA	0.044969099
0.023273345	NA	NA	0.042041411
0.04134903	NA	NA	0.023809206
0.030983762	NA	NA	0.035966959
0.015862082	NA	NA	0.007742631
0.00209738	NA	NA	0.115690634
0.007325066	NA	NA	0.014433752
0.012504952	NA	NA	0.023220657
0.038865494	NA	NA	0.06082103
0.04134903	NA	NA	0.001783221
0.01224861	NA	NA	0.009084432
0.128777262	NA	NA	0.001291284
0.017484165	NA	NA	0.007858587
0.021058458	NA	NA	0.015387824
0.037971217	NA	NA	0.057364292
0.001567021	NA	NA	0.011808921
0.049897861	NA	NA	0.001432941
0.116222546	NA	NA	0.189607862
0.038703663	NA	NA	0.00440662
0.023987762	NA	NA	0.019137833
0.100969765	NA	NA	0.012661029
0.017562818	NA	NA	0.027534803
0.098636694	NA	NA	0.004238212
0.019210203	NA	NA	0.019140043
0.067226266	NA	NA	0.004991923
0.04134903	NA	NA	0.003932952
0.001633279	NA	NA	0.024445133
0.06230757	NA	NA	0.050154151
0.029277041	NA	NA	0.005994369
0.097917449	NA	NA	0.1012677
0.019415533	NA	NA	0.003602174
0.100729997	NA	NA	0.024048618
0.04134903	NA	NA	0.074511236
0.043978637	NA	NA	0.081050499
0.040051212	NA	NA	0.003169349
0.0254956	NA	NA	0.089260819
0.117804169	NA	NA	0.001298275
0.001694629	NA	NA	0.019251475
NA	NA	NA	0.004368171
NA	NA	NA	0.099059435
NA	NA	NA	0.142096415
NA	NA	NA	0.007189529
NA	NA	NA	0.017383074
NA	NA	NA	0.037464729
NA	NA	NA	0.036580068
NA	NA	NA	0.006679425
NA	NA	NA	0.055992881
NA	NA	NA	0.010234342
NA	NA	NA	0.031684051
NA	NA	NA	0.071513071
NA	NA	NA	0.002558733
NA	NA	NA	0.146812406
NA	NA	NA	0.030809036
NA	NA	NA	0.024359779
NA	NA	NA	0.011466031
