Mouse_gene_name	Mouse_id	Predicted_status	Number_of_mouse_orthologs	Degree	Rank	Weighted-degree	Weighted_rank	Zebrafish_gene_name	Zfin_id	Predicted_status	Number_of_zebrafish_orthologs	Degree	Rank	Weighted-degree	Weighted-rank
cd44	mgi:88338	direct_annotation_to_the_hindlimb	NA	94	48	38.376535591	51	NA	NA	NA	NA	NA	NA	NA	NA
pth	mgi:97799	direct_annotation_to_the_hindlimb	NA	70	85	29.5730946988	82	NA	NA	NA	2:pth1b,pth1a	NA	NA	NA	NA
gy	mgi:2180716	direct_annotation_to_the_hindlimb	NA	1	627	0.308446778429	656	NA	NA	NA	NA	NA	NA	NA	NA
il6st	mgi:96560	direct_annotation_to_the_hindlimb	NA	17	329	7.90630421416	296	NA	NA	NA	1:il6st	NA	NA	NA	NA
wdr19	mgi:2443231	direct_annotation_to_the_hindlimb	NA	8	436	3.8853395496	416	NA	NA	NA	1:wdr19	NA	NA	NA	NA
inhba	mgi:96570	direct_annotation_to_the_hindlimb	NA	94	48	36.5518801481	55	NA	NA	NA	2:inhbab,inhbaa	NA	NA	NA	NA
ttc28	mgi:2140873	direct_annotation_to_the_hindlimb	NA	14	359	4.78728442274	386	NA	NA	NA	1:ttc28	NA	NA	NA	NA
tbx15	mgi:1277234	direct_annotation_to_the_hindlimb	NA	7	456	2.41166761135	482	NA	NA	NA	1:tbx15	NA	NA	NA	NA
tsed	mgi:3845083	direct_annotation_to_the_hindlimb	NA	1	627	0.350984700253	635	NA	NA	NA	NA	NA	NA	NA	NA
ptpn2	mgi:97806	direct_annotation_to_the_hindlimb	NA	37	219	13.8995919301	223	NA	NA	NA	2:ptpn2b,ptpn2a	NA	NA	NA	NA
lamc1	mgi:99914	direct_annotation_to_the_hindlimb	1:lamc1	17	329	7.85728913301	299	lamc1	zdb-gene-021226-3	predicted	1:lamc1	32	459	13.3297369667	461
smo	mgi:108075	direct_annotation_to_the_hindlimb	1:smo	81	71	34.0860169358	66	smo	zdb-gene-980526-89	predicted	1:smo	67	315	32.2548712805	293
cdkn2a	mgi:104738	direct_annotation_to_the_hindlimb	NA	26	257	10.2477452303	260	NA	NA	NA	1:cdkn2a/b	NA	NA	NA	NA
ifit2	mgi:99449	direct_annotation_to_the_hindlimb	NA	1	627	0.416772332404	627	NA	NA	NA	NA	NA	NA	NA	NA
kif1a	mgi:108391	direct_annotation_to_the_hindlimb	NA	2	589	0.783707262721	601	NA	NA	NA	2:kif1ab,kif1aa	NA	NA	NA	NA
rac1	mgi:97845	direct_annotation_to_the_hindlimb	1:rac1	61	107	24.2558527849	103	rac1a	zdb-gene-030131-5415	predicted	2:rac1a,rac1b	190	20	92.9107340666	16
