Date: 2018.06.26
ZFIN ID	ZFIN Symbol	ZFIN Name	Mouse Symbol	Mouse Name	MGI ID	Gene ID	Evidence	Pub ID	
ZDB-GENE-000112-47	ppardb	peroxisome proliferator-activated receptor delta b	Ppard	peroxisome proliferator activator receptor delta	MGI:101884	19015	AA	ZDB-PUB-010511-3
ZDB-GENE-000112-47	ppardb	peroxisome proliferator-activated receptor delta b	Ppard	peroxisome proliferator activator receptor delta	MGI:101884	19015	AA	ZDB-PUB-070210-39
ZDB-GENE-000112-47	ppardb	peroxisome proliferator-activated receptor delta b	Ppard	peroxisome proliferator activator receptor delta	MGI:101884	19015	AA	ZDB-PUB-071118-46
ZDB-GENE-000112-47	ppardb	peroxisome proliferator-activated receptor delta b	Ppard	peroxisome proliferator activator receptor delta	MGI:101884	19015	AA	ZDB-PUB-150226-13
ZDB-GENE-000112-47	ppardb	peroxisome proliferator-activated receptor delta b	Ppard	peroxisome proliferator activator receptor delta	MGI:101884	19015	PT	ZDB-PUB-150226-13
ZDB-GENE-000125-12	igfbp2a	insulin-like growth factor binding protein 2a	Igfbp2	insulin-like growth factor binding protein 2	MGI:96437	16008	AA	ZDB-PUB-000111-5
ZDB-GENE-000125-12	igfbp2a	insulin-like growth factor binding protein 2a	Igfbp2	insulin-like growth factor binding protein 2	MGI:96437	16008	AA	ZDB-PUB-081218-26
ZDB-GENE-000125-12	igfbp2a	insulin-like growth factor binding protein 2a	Igfbp2	insulin-like growth factor binding protein 2	MGI:96437	16008	AA	ZDB-PUB-090428-2
ZDB-GENE-000125-12	igfbp2a	insulin-like growth factor binding protein 2a	Igfbp2	insulin-like growth factor binding protein 2	MGI:96437	16008	AA	ZDB-PUB-120910-1
ZDB-GENE-000125-12	igfbp2a	insulin-like growth factor binding protein 2a	Igfbp2	insulin-like growth factor binding protein 2	MGI:96437	16008	PT	ZDB-PUB-170204-4
ZDB-GENE-000128-11	dbx1b	developing brain homeobox 1b	Dbx1	developing brain homeobox 1	MGI:94867	13172	AA	ZDB-PUB-000118-10
ZDB-GENE-000128-11	dbx1b	developing brain homeobox 1b	Dbx1	developing brain homeobox 1	MGI:94867	13172	CL	ZDB-PUB-030905-1
ZDB-GENE-000128-11	dbx1b	developing brain homeobox 1b	Dbx1	developing brain homeobox 1	MGI:94867	13172	NT	ZDB-PUB-000118-10
ZDB-GENE-000128-8	dbx1a	developing brain homeobox 1a	Dbx1	developing brain homeobox 1	MGI:94867	13172	AA	ZDB-PUB-000118-10
ZDB-GENE-000128-8	dbx1a	developing brain homeobox 1a	Dbx1	developing brain homeobox 1	MGI:94867	13172	AA	ZDB-PUB-010112-1
ZDB-GENE-000128-8	dbx1a	developing brain homeobox 1a	Dbx1	developing brain homeobox 1	MGI:94867	13172	AA	ZDB-PUB-961014-309
ZDB-GENE-000128-8	dbx1a	developing brain homeobox 1a	Dbx1	developing brain homeobox 1	MGI:94867	13172	CL	ZDB-PUB-010613-1
ZDB-GENE-000128-8	dbx1a	developing brain homeobox 1a	Dbx1	developing brain homeobox 1	MGI:94867	13172	NT	ZDB-PUB-000118-10
ZDB-GENE-000201-18	pbx4	pre-B-cell leukemia transcription factor 4	Pbx4	pre B cell leukemia homeobox 4	MGI:1931321	80720	AA	ZDB-PUB-000927-4
ZDB-GENE-000201-18	pbx4	pre-B-cell leukemia transcription factor 4	Pbx4	pre B cell leukemia homeobox 4	MGI:1931321	80720	AA	ZDB-PUB-001220-4
ZDB-GENE-000201-18	pbx4	pre-B-cell leukemia transcription factor 4	Pbx4	pre B cell leukemia homeobox 4	MGI:1931321	80720	CL	ZDB-PUB-030905-1
ZDB-GENE-000208-17	calr3a	calreticulin 3a	Calr3	calreticulin 3	MGI:1920566	73316	AA	ZDB-PUB-030905-1
ZDB-GENE-000208-17	calr3a	calreticulin 3a	Calr3	calreticulin 3	MGI:1920566	73316	CL	ZDB-PUB-030905-1
ZDB-GENE-000208-18	urod	uroporphyrinogen decarboxylase	Urod	uroporphyrinogen decarboxylase	MGI:98916	22275	AA	ZDB-PUB-981208-38
ZDB-GENE-000208-18	urod	uroporphyrinogen decarboxylase	Urod	uroporphyrinogen decarboxylase	MGI:98916	22275	CL	ZDB-PUB-030905-1
ZDB-GENE-000208-20	mixl1	Mix paired-like homeobox	Mixl1	Mix1 homeobox-like 1 (Xenopus laevis)	MGI:1351322	27217	AA	ZDB-PUB-030905-1
ZDB-GENE-000208-20	mixl1	Mix paired-like homeobox	Mixl1	Mix1 homeobox-like 1 (Xenopus laevis)	MGI:1351322	27217	CL	ZDB-PUB-030905-1
ZDB-GENE-000208-21	kifc1	kinesin family member C1	Kifc1	kinesin family member C1	MGI:109596	100502766	AA	ZDB-PUB-001019-5
ZDB-GENE-000208-21	kifc1	kinesin family member C1	Kifc1	kinesin family member C1	MGI:109596	100502766	AA	ZDB-PUB-100625-4
ZDB-GENE-000208-21	kifc1	kinesin family member C1	Kifc1	kinesin family member C1	MGI:109596	100502766	AA	ZDB-PUB-170524-7
ZDB-GENE-000208-21	kifc1	kinesin family member C1	Kifc1	kinesin family member C1	MGI:109596	100502766	CL	ZDB-PUB-010308-1
ZDB-GENE-000208-21	kifc1	kinesin family member C1	Kifc1	kinesin family member C1	MGI:109596	100502766	PT	ZDB-PUB-170524-7
ZDB-GENE-000208-23	col11a2	collagen, type XI, alpha 2	Col11a2	collagen, type XI, alpha 2	MGI:88447	12815	AA	ZDB-PUB-000510-8
ZDB-GENE-000208-23	col11a2	collagen, type XI, alpha 2	Col11a2	collagen, type XI, alpha 2	MGI:88447	12815	AA	ZDB-PUB-100726-15
ZDB-GENE-000208-25	bmp7a	bone morphogenetic protein 7a	Bmp7	bone morphogenetic protein 7	MGI:103302	12162	AA	ZDB-PUB-030905-1
ZDB-GENE-000208-25	bmp7a	bone morphogenetic protein 7a	Bmp7	bone morphogenetic protein 7	MGI:103302	12162	AA	ZDB-PUB-080714-3
ZDB-GENE-000208-4	zic1	zic family member 1 (odd-paired homolog, Drosophila)	Zic1	zinc finger protein of the cerebellum 1	MGI:106683	22771	AA	ZDB-PUB-040402-7
ZDB-GENE-000208-4	zic1	zic family member 1 (odd-paired homolog, Drosophila)	Zic1	zinc finger protein of the cerebellum 1	MGI:106683	22771	AA	ZDB-PUB-040609-17
ZDB-GENE-000208-4	zic1	zic family member 1 (odd-paired homolog, Drosophila)	Zic1	zinc finger protein of the cerebellum 1	MGI:106683	22771	AA	ZDB-PUB-070523-10
ZDB-GENE-000208-4	zic1	zic family member 1 (odd-paired homolog, Drosophila)	Zic1	zinc finger protein of the cerebellum 1	MGI:106683	22771	AA	ZDB-PUB-990105-8
ZDB-GENE-000208-4	zic1	zic family member 1 (odd-paired homolog, Drosophila)	Zic1	zinc finger protein of the cerebellum 1	MGI:106683	22771	AA	ZDB-PUB-990824-27
ZDB-GENE-000208-8	copg2	coatomer protein complex, subunit gamma 2	Copg2	coatomer protein complex, subunit gamma 2	MGI:1858683	54160	AA	ZDB-PUB-001101-5
ZDB-GENE-000208-8	copg2	coatomer protein complex, subunit gamma 2	Copg2	coatomer protein complex, subunit gamma 2	MGI:1858683	54160	CL	ZDB-PUB-051107-34
ZDB-GENE-000209-3	robo1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	Robo1	roundabout guidance receptor 1	MGI:1274781	19876	AA	ZDB-PUB-010215-1
ZDB-GENE-000209-4	robo3	roundabout, axon guidance receptor, homolog 3 (Drosophila)	Robo3	roundabout guidance receptor 3	MGI:1343102	19649	AA	ZDB-PUB-030905-1
ZDB-GENE-000209-4	robo3	roundabout, axon guidance receptor, homolog 3 (Drosophila)	Robo3	roundabout guidance receptor 3	MGI:1343102	19649	CL	ZDB-PUB-030905-1
ZDB-GENE-000210-13	nccrp1	non-specific cytotoxic cell receptor protein 1	Nccrp1	non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)	MGI:2685009	233038	AA	ZDB-PUB-030905-1
ZDB-GENE-000210-13	nccrp1	non-specific cytotoxic cell receptor protein 1	Nccrp1	non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)	MGI:2685009	233038	CL	ZDB-PUB-030905-1
ZDB-GENE-000210-15	btg2	B-cell translocation gene 2	Btg2	B cell translocation gene 2, anti-proliferative	MGI:108384	12227	AA	ZDB-PUB-010706-8
ZDB-GENE-000210-20	cat	catalase	Cat	catalase	MGI:88271	12359	AA	ZDB-PUB-001221-4
ZDB-GENE-000210-20	cat	catalase	Cat	catalase	MGI:88271	12359	AA	ZDB-PUB-150507-5
ZDB-GENE-000210-21	inhbaa	inhibin subunit beta Aa	Inhba	inhibin beta-A	MGI:96570	16323	AA	ZDB-PUB-030905-1
ZDB-GENE-000210-23	meis2b	Meis homeobox 2b	Meis2	Meis homeobox 2	MGI:108564	17536	AA	ZDB-PUB-010410-5
ZDB-GENE-000210-23	meis2b	Meis homeobox 2b	Meis2	Meis homeobox 2	MGI:108564	17536	AA	ZDB-PUB-011214-10
ZDB-GENE-000210-23	meis2b	Meis homeobox 2b	Meis2	Meis homeobox 2	MGI:108564	17536	CE	ZDB-PUB-010410-5
ZDB-GENE-000210-25	khdrbs1a	KH domain containing, RNA binding, signal transduction associated 1a	Khdrbs1	KH domain containing, RNA binding, signal transduction associated 1	MGI:893579	20218	AA	ZDB-PUB-030905-1
ZDB-GENE-000210-25	khdrbs1a	KH domain containing, RNA binding, signal transduction associated 1a	Khdrbs1	KH domain containing, RNA binding, signal transduction associated 1	MGI:893579	20218	CL	ZDB-PUB-030905-1
ZDB-GENE-000210-31	vdra	vitamin D receptor a	Vdr	vitamin D (1,25-dihydroxyvitamin D3) receptor	MGI:103076	22337	AA	ZDB-PUB-071118-46
ZDB-GENE-000210-31	vdra	vitamin D receptor a	Vdr	vitamin D (1,25-dihydroxyvitamin D3) receptor	MGI:103076	22337	AA	ZDB-PUB-071118-47
ZDB-GENE-000210-31	vdra	vitamin D receptor a	Vdr	vitamin D (1,25-dihydroxyvitamin D3) receptor	MGI:103076	22337	AA	ZDB-PUB-110207-31
ZDB-GENE-000210-31	vdra	vitamin D receptor a	Vdr	vitamin D (1,25-dihydroxyvitamin D3) receptor	MGI:103076	22337	AA	ZDB-PUB-150226-13
ZDB-GENE-000210-31	vdra	vitamin D receptor a	Vdr	vitamin D (1,25-dihydroxyvitamin D3) receptor	MGI:103076	22337	CL	ZDB-PUB-030905-1
ZDB-GENE-000210-31	vdra	vitamin D receptor a	Vdr	vitamin D (1,25-dihydroxyvitamin D3) receptor	MGI:103076	22337	PT	ZDB-PUB-150226-13
ZDB-GENE-000210-32	nme2b.1	NME/NM23 nucleoside diphosphate kinase 2b, tandem duplicate 1	Nme2	NME/NM23 nucleoside diphosphate kinase 2	MGI:97356	18103	AA	ZDB-PUB-030905-1
ZDB-GENE-000210-32	nme2b.1	NME/NM23 nucleoside diphosphate kinase 2b, tandem duplicate 1	Nme2	NME/NM23 nucleoside diphosphate kinase 2	MGI:97356	18103	CL	ZDB-PUB-030905-1
ZDB-GENE-000210-33	nme2b.2	NME/NM23 nucleoside diphosphate kinase 2b, tandem duplicate 2	Nme2	NME/NM23 nucleoside diphosphate kinase 2	MGI:97356	18103	AA	ZDB-PUB-030905-1
ZDB-GENE-000210-33	nme2b.2	NME/NM23 nucleoside diphosphate kinase 2b, tandem duplicate 2	Nme2	NME/NM23 nucleoside diphosphate kinase 2	MGI:97356	18103	CL	ZDB-PUB-030905-1
ZDB-GENE-000210-34	nme3	NME/NM23 nucleoside diphosphate kinase 3	Nme3	NME/NM23 nucleoside diphosphate kinase 3	MGI:1930182	79059	AA	ZDB-PUB-091101-7
ZDB-GENE-000210-34	nme3	NME/NM23 nucleoside diphosphate kinase 3	Nme3	NME/NM23 nucleoside diphosphate kinase 3	MGI:1930182	79059	CL	ZDB-PUB-030905-1
ZDB-GENE-000210-35	nme7	NME/NM23 family member 7	Nme7	NME/NM23 family member 7	MGI:2449121	171567	AA	ZDB-PUB-090511-15
ZDB-GENE-000210-35	nme7	NME/NM23 family member 7	Nme7	NME/NM23 family member 7	MGI:2449121	171567	AA	ZDB-PUB-091101-7
ZDB-GENE-000210-35	nme7	NME/NM23 family member 7	Nme7	NME/NM23 family member 7	MGI:2449121	171567	CL	ZDB-PUB-121227-20
ZDB-GENE-000210-6	twist1a	twist family bHLH transcription factor 1a	Twist1	twist basic helix-loop-helix transcription factor 1	MGI:98872	22160	AA	ZDB-PUB-070813-17
ZDB-GENE-000210-6	twist1a	twist family bHLH transcription factor 1a	Twist1	twist basic helix-loop-helix transcription factor 1	MGI:98872	22160	AA	ZDB-PUB-070924-2
ZDB-GENE-000210-6	twist1a	twist family bHLH transcription factor 1a	Twist1	twist basic helix-loop-helix transcription factor 1	MGI:98872	22160	CL	ZDB-PUB-030905-1
ZDB-GENE-000210-8	pcna	proliferating cell nuclear antigen	Pcna	proliferating cell nuclear antigen	MGI:97503	18538	AA	ZDB-PUB-030106-11
ZDB-GENE-000210-8	pcna	proliferating cell nuclear antigen	Pcna	proliferating cell nuclear antigen	MGI:97503	18538	AA	ZDB-PUB-101201-51
ZDB-GENE-000223-14	phox2a	paired-like homeobox 2a	Phox2a	paired-like homeobox 2a	MGI:106633	11859	AA	ZDB-PUB-991129-3
ZDB-GENE-000223-14	phox2a	paired-like homeobox 2a	Phox2a	paired-like homeobox 2a	MGI:106633	11859	CL	ZDB-PUB-030905-1
ZDB-GENE-000308-1	igf2bp3	insulin-like growth factor 2 mRNA binding protein 3	Igf2bp3	insulin-like growth factor 2 mRNA binding protein 3	MGI:1890359	140488	AA	ZDB-PUB-030905-1
ZDB-GENE-000308-1	igf2bp3	insulin-like growth factor 2 mRNA binding protein 3	Igf2bp3	insulin-like growth factor 2 mRNA binding protein 3	MGI:1890359	140488	CL	ZDB-PUB-030905-1
ZDB-GENE-000322-1	actc1b	actin, alpha, cardiac muscle 1b	Actc1	actin, alpha, cardiac muscle 1	MGI:87905	11464	AA	ZDB-PUB-030905-1
ZDB-GENE-000322-1	actc1b	actin, alpha, cardiac muscle 1b	Actc1	actin, alpha, cardiac muscle 1	MGI:87905	11464	CL	ZDB-PUB-030905-1
ZDB-GENE-000322-3	tnnt3a	troponin T type 3a (skeletal, fast)	Tnnt3	troponin T3, skeletal, fast	MGI:109550	21957	AA	ZDB-PUB-030516-1
ZDB-GENE-000322-3	tnnt3a	troponin T type 3a (skeletal, fast)	Tnnt3	troponin T3, skeletal, fast	MGI:109550	21957	CL	ZDB-PUB-030905-1
ZDB-GENE-000323-1	tbr1b	T-box, brain, 1b	Tbr1	T-box brain gene 1	MGI:107404	21375	AA	ZDB-PUB-001221-2
ZDB-GENE-000323-1	tbr1b	T-box, brain, 1b	Tbr1	T-box brain gene 1	MGI:107404	21375	AA	ZDB-PUB-030707-1
ZDB-GENE-000323-1	tbr1b	T-box, brain, 1b	Tbr1	T-box brain gene 1	MGI:107404	21375	AA	ZDB-PUB-070726-7
